env_id,random_score,denom
Alien-v5,227.7999999999996,6899.900000000002
Amidar-v5,5.800000000000068,1713.6999999999998
Assault-v5,222.39999999999986,519.6000000000001
Asterix-v5,209.99999999999932,8293.300000000001
Asteroids-v5,719.1000000000004,46669.600000000006
Atlantis-v5,12849.999999999964,16178.100000000004
BankHeist-v5,14.200000000000074,738.8999999999996
BattleZone-v5,2359.9999999999964,34827.5
BeamRider-v5,363.90000000000146,16562.59999999999
Berzerk-v5,123.69999999999982,2506.7000000000007
Bowling-v5,23.09999999999995,137.60000000000002
Boxing-v5,0.10000000000001208,11.999999999999996
Breakout-v5,1.6999999999999034,28.800000000000004
Centipede-v5,2090.9000000000015,9926.1
ChopperCommand-v5,811.0,6576.8
CrazyClimber-v5,10780.5,25048.900000000005
Defender-v5,2874.5,15814.400000000001
DemonAttack-v5,152.09999999999854,1818.9000000000005
DoubleDunk-v5,-18.60000000000001,2.2000000000000033
Enduro-v5,-4.263256414560601e-14,860.5000000000005
FishingDerby-v5,-91.70000000000002,53.00000000000001
Freeway-v5,-6.039613253960852e-14,29.600000000000062
Frostbite-v5,65.20000000000027,4269.499999999999
Gopher-v5,257.59999999999945,2154.9000000000005
Gravitar-v5,173.00000000000023,3178.3999999999996
Hero-v5,1027.0000000000007,29799.40000000001
IceHockey-v5,-11.2,12.100000000000001
Jamesbond-v5,29.0,273.8
Kangaroo-v5,52.000000000000114,2983.0
Krull-v5,1598.0000000000018,1067.5
KungFuMaster-v5,258.49999999999636,22477.800000000003
MontezumaRevenge-v5,0.0,4753.300000000002
MsPacman-v5,307.30000000000064,6644.299999999999
NameThisGame-v5,2292.300000000001,5756.699999999999
Phoenix-v5,761.3999999999996,6481.200000000002
Pitfall-v5,-229.4,6693.1
Pong-v5,-20.7,35.3
PrivateEye-v5,24.899999999999636,69546.40000000002
Qbert-v5,163.90000000000146,13291.1
Riverraid-v5,1338.500000000001,15779.499999999998
RoadRunner-v5,11.500000000000455,7833.5
Robotank-v5,2.2000000000000135,9.699999999999992
Seaquest-v5,68.40000000000074,41986.30000000012
Skiing-v5,-17098.099999999995,12761.199999999995
Solaris-v5,1236.2999999999997,11090.400000000001
SpaceInvaders-v5,148.0,1520.6999999999998
StarGunner-v5,664.0000000000005,9585.999999999998
Surround-v5,-10.000000000000005,16.500000000000004
Tennis-v5,-23.800000000000043,15.500000000000025
TimePilot-v5,3567.999999999999,1661.2
Tutankham-v5,11.399999999999991,156.2
UpNDown-v5,533.4000000000003,11159.8
Venture-v5,9.947598300641403e-14,1187.5
VideoPinball-v5,-2.1827872842550278e-11,17667.9
WizardOfWor-v5,563.4999999999991,4193.0
YarsRevenge-v5,3092.9000000000005,51484.0
Zaxxon-v5,32.49999999999951,9140.8
