env_id,game,OpenAI Baselines PPO2,CleanRL EnvPool PPO,Codex best input mean,Codex best single run
Alien-v5,Alien,0.21,0.22,0.2723034633352174,0.322062638588965
Amidar-v5,Amidar,0.34,0.49,0.3054988232090408,0.623329637626189
Assault-v5,Assault,8.96,11.6,0.9518860662047728,1.0269438029253273
Asterix-v5,Asterix,0.43,0.57,9.88428410082034,29.154859947186285
Asteroids-v5,Asteroids,0.02,0.02,0.1964355097679574,0.3863521435795464
Atlantis-v5,Atlantis,125.1,200.65,5.877286784809918,7.389619300165038
BankHeist-v5,BankHeist,1.62,1.56,0.0800288717462895,0.1837867099742861
BattleZone-v5,BattleZone,0.51,0.52,0.7170578805063049,0.994616323307731
BeamRider-v5,BeamRider,0.15,0.17,0.1289310454477759,0.2698912006569017
Berzerk-v5,Berzerk,0.37,0.35,0.7471842129758911,1.2671241073921888
Bowling-v5,Bowling,0.27,0.16,1.1911337209302326,1.409156976744186
Boxing-v5,Boxing,7.77,7.8,6.963888888888889,7.741666666666667
Breakout-v5,Breakout,14.03,16.12,20.346064814814813,29.94097222222222
Centipede-v5,Centipede,0.16,0.14,3.4765349264397227,4.268252385126082
ChopperCommand-v5,ChopperCommand,0.0,0.55,0.8041904877752097,1.6404634472691886
CrazyClimber-v5,CrazyClimber,4.33,4.3,0.4545575520947693,1.0467325910519023
Defender-v5,Defender,2.99,2.93,0.8204863921489275,1.6994321630918654
DemonAttack-v5,DemonAttack,7.5,12.83,5.809133725511756,7.129528836109736
DoubleDunk-v5,DoubleDunk,2.56,5.4,12.69696969696968,19.36363636363634
Enduro-v5,Enduro,1.15,1.37,0.126283168700368,0.2010459035444509
FishingDerby-v5,FishingDerby,2.23,2.22,1.258490566037736,1.730188679245283
Freeway-v5,Freeway,1.11,1.11,1.0135135135135134,1.081081081081081
Frostbite-v5,Frostbite,0.2,0.05,0.3555763750634345,0.7506265370652302
Gopher-v5,Gopher,1.58,1.04,2.556530078735286,6.340154995591442
Gravitar-v5,Gravitar,0.22,0.14,0.606279889252454,0.9838283413038006
Hero-v5,Hero,0.8,0.97,0.1650368799371799,0.2152056752820526
IceHockey-v5,IceHockey,0.59,0.55,1.4765840220385675,1.8347107438016528
PrivateEye-v5,PrivateEye,0.0,0.0,0.2362993147979861,0.4927516018082891
Qbert-v5,Qbert,1.13,1.29,1.8498167946972035,2.209079760140244
Riverraid-v5,Riverraid,0.49,0.47,0.1355028148335921,0.2504198485376596
RoadRunner-v5,RoadRunner,5.12,5.75,0.8283015254994576,1.134677985574775
Robotank-v5,Robotank,1.47,0.98,2.384879725085911,2.453608247422681
Seaquest-v5,Seaquest,0.03,0.03,0.0150430021221207,0.0236172275242162
Skiing-v5,Skiing,-0.46,0.44,1.0495695284664974,1.0750634736545153
Solaris-v5,Solaris,0.1,0.07,0.7308452956310562,0.988575705114333
SpaceInvaders-v5,SpaceInvaders,0.57,0.67,1.0446943293658622,1.5104885907805616
StarGunner-v5,StarGunner,4.57,4.82,0.1324153279087558,0.2854162320050073
Surround-v5,Surround,0.31,0.28,1.191919191919192,1.2121212121212122
Tennis-v5,Tennis,0.47,0.76,1.6645161290322583,1.729032258064516
TimePilot-v5,TimePilot,1.67,2.02,2.1562725740428608,5.376836022152661
Tutankham-v5,Tutankham,1.15,1.35,0.6248399487836108,0.7336747759282971
UpNDown-v5,UpNDown,13.94,35.28,0.7216318094111602,1.1045538450509864
Venture-v5,Venture,0.09,0.0,0.1403508771929824,0.4210526315789473
VideoPinball-v5,VideoPinball,26.13,42.36,5.851704692313931,10.548508877682124
WizardOfWor-v5,WizardOfWor,1.14,1.39,1.2806661896812148,2.8467684235630815
YarsRevenge-v5,YarsRevenge,0.12,1.16,0.6231756699261166,1.0832122601196488
Zaxxon-v5,Zaxxon,0.6,0.52,0.2517102806464788,0.7622418169088045
Jamesbond-v5,Jamesbond,1.85,2.03,9.390065741417091,23.26880934989043
Kangaroo-v5,Kangaroo,1.77,1.49,0.6753827243267404,1.1894066376131411
Krull-v5,Krull,6.69,7.33,14.440593286494924,20.32974238875878
KungFuMaster-v5,KungFuMaster,1.34,1.3,1.9652649873801409,2.622209468898202
MontezumaRevenge-v5,MontezumaRevenge,0.0,0.0,0.0280506875924796,0.0841520627774388
MsPacman-v5,MsPacman,0.28,0.34,0.3576047639831635,0.6671432656562768
NameThisGame-v5,NameThisGame,0.79,0.63,0.9110022524478724,1.688067816631056
Phoenix-v5,Phoenix,1.35,2.17,2.3584007076878764,5.813522187249274
Pitfall-v5,Pitfall,0.03,0.02,0.0342741031808877,0.0342741031808877
Pong-v5,Pong,1.17,1.17,1.1813031161473089,1.1813031161473089
